square matrix size,native,one stroke,numpy emplemented,strassen numpy
2,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8,0.0000000000,0.0009610653,0.0000000000,0.0000000000
16,0.0010070801,0.0009870529,0.0000000000,0.0090062618
32,0.0069825649,0.0059525967,0.0000000000,0.0418889523
64,0.0748000145,0.0528588295,0.0000000000,0.2473371029
128,0.4513399601,0.4413571358,0.0049860477,1.7713453770
256,4.0745289326,2.7909898758,0.0358955860,12.5188202858
512,35.2574894428,21.5303819180,0.3381347656,87.8136570454
